Name,phone
"Kidzee Sheuli, Barrackpore, Kolkata",Phone: 9831242204
"Kidzee Tender Hearts, Beleghata, Kolkata",Phone: 033 32577964
"Kidzee, Aarambagh",Phone: 9932870876
"Kidzee, Agarpara, Kolkata",Phone: 9830173607
"Kidzee, Alipore, Kolkata",Phone: 9830455638
"Kidzee, Arka Phatak, Kolkata",Phone: 033 24913870
"Kidzee, Baghajatin",Phone: 7044059210
"Kidzee, Baguiati Road, Kolkata",Phone: 9748432222
"Kidzee, Balia, Kolkata",Phone: 9883228575
"Kidzee, Bangur Avenue, Kolkata",Phone: 9051328444
"Kidzee, Bapuji Colony, Kolkata",Phone: 9143282758
"Kidzee, Baranagar, Kolkata",Phone: 033 64586229
"Kidzee, Baruipur, Kolkata",Phone: 9038909741
"Kidzee, Batanagar, Kolkata",Phone: 033 24924875
"Kidzee, Beck Bagan, Kolkata",Phone: 030 539333
"Kidzee, Behala, Kolkata",Phone: 9830421188
"Kidzee, Behala, Kolkata",Phone: 9331118222
"Kidzee, Belgharia, Kolkata",Phone: 033 65655519
"Kidzee, Birati, Kolkata",Phone: 033 65031112
"Kidzee, Boral, Kolkata",Phone: 9903894200
"Kidzee, Brahmapur, Kolkata",Phone: 9830433939
"Kidzee, Canal South Road, Kolkata",Phone: 8697980086
"Kidzee, CIT Road, Kolkata",Phone: 033 32958844
"Kidzee, Deshapriya Park, Kolkata",Phone: 033 24197618
"Kidzee, Doharia, Kolkata",Phone: 033 65001664
"Kidzee, Dum Dum, Kolkata",Phone: 8017508365
"Kidzee, Dumdum, Kolkata",Phone: 9831080688
"Kidzee, Dumdum, Kolkata",Phone: 9830323336
"Kidzee, Garia, Kolkata",Phone: 033 64507225
"Kidzee, Gariahat, Kolkata",Phone: 033 32542056
"Kidzee, Harinavi, Kolkata",Phone: 9831294401
"Kidzee, Hosseenpur, Kolkata",Phone: 9836624046
"Kidzee, Jheel Road, Kolkata",Phone: 033 60505057
"Kidzee, Jodhpur Park, Kolkata",Phone: 033 64561041
"Kidzee, Kaikhali, Kolkata",Phone: 8017042448
"Kidzee, Kalikapur, Kolkata",Phone: 9831071976
"Kidzee, Kamalgazi, Kolkata",Phone: 9007042652
"Kidzee, Kankugrachi, Kolkata",Phone: 033 32958844
"Kidzee, Kasba, Kolkata",Phone: 9831699998
"Kidzee, Kasba, Kolkata",Phone: 7044647377
"Kidzee, Kestopur, Kolkata",Phone: 033 64504373
"Kidzee, Khardah, Kolkata",Phone: 033 25231329
"Kidzee, Khardha, Kolkata",Phone: 9231665008
"Kidzee, Kidderpore, Kolkata",Phone: 9830161484
"Kidzee, Lake Town, Kolkata",Phone: 9674566148
"Kidzee, Madhyamgram","Phone: 9331986951, 8240677925"
"Kidzee, MG Road, Kolkata",Phone: 9531593934
"Kidzee, Naktala, Kolkata",Phone: 033 64501163
"Kidzee, Nayabad, Kolkata",Phone: 033 24320037
"Kidzee, New Alipore, Kolkata",Phone: 8017025253
"Kidzee, New Alipore, Kolkata",Phone: 8017025253
"Kidzee, New Barrackpore, Kolkata",Phone: 7044153181
"Kidzee, New Town, Kolkata",Phone: 8334825544
"Kidzee, Paddapukur Road, Kolkata",Phone: 9903026855
"Kidzee, Paharpur Road, Kolkatta",Phone: 8420960930
"Kidzee, Panchasayar, Kolkata",Phone: 9433063606
"Kidzee, Parnashree Pally, Kolkata",Phone: 9330499444
"Kidzee, Sakher Bazaar, Kolkata",Phone: 9830814414
"Kidzee, Salt Lake, Kolkata",Phone: 9432322288
"Kidzee, Salt Lake, Kolkata",Phone: 9836061543
"Kidzee, Santoshpur, Kolkata",Phone: 9143461632
"Kidzee, Sodepur, Kolkata",Phone: 9830119363
"Kidzee, Sonarpur, Kolkata",Phone: 033 24620607
"Kidzee, Tagore Park, Kolkata",Phone: 9830967787
"Kidzee, Tollygunge, Kolkata",Phone: 033 40732698
"Kidzee, Ultadanga, Kolkata",Phone: 9831144404
"Kidzee, Uttarpara Kotrang, Kolkata",Phone: 9831126122
"LA Martiniere For Girls, Kolkata",Phone: 033 22903841
"Lakshmipat Singhania Academy, Kolkata","Phone: 033 24793600, 24498409"
"Laxmipat Singhania Academy, Alipore","Phone: 033 24793600, 24498409"
Lions Calcutta Greater Vidya Mandir,"Phone: 033 24277292, 24271584"
"Little Hartley Montessori School, Kolkata","Phone: 033 22903452, 64500134"
"Little Millennium Salt Lake BK Block, Kolkata",Phone: 9830595715
"Little Millennium, Bangur Avenue, Kolkata",Phone: 9748070243
"Little Millennium, Bansdroni, Kolkata",Phone: 9830549155
"Little Millennium, Girish Park, Kolkata",Phone: 9007761016
"Little Millennium, Hazra, Kolkata",Phone: 033 24542154
"Little Millennium, Narayanpur, Kolkata",Phone: 8017896812
"Little Millennium, Prince Anwar Shah Road, Kolkata",Phone: 8017252536
"Little Millennium, Saltlake BA Block, Kolkata",Phone: 9831179777
"Little Millennium, Shyambazar, Kolkata",Phone: 8017165489
"London Kids, Ekbalpur",Phone: 7799088822
"London Kids, Rajarhat",Phone: 7799088822
"Mahadevi Birla Girls Hr Sec School, Kolkata","Phone: 033 22873613, 22873913"
"Modern High School for Girls, Kolkata","Phone: 033 22875326, 22876080"
"Mothers Pride, Kolkata","Phone: 9674160139, 9674331115"
"Mount Litera Zee School, Maheshtala",Phone: 9831057744
"MP Birla Foundation Hr Sec School, Kolkata","Phone: 033 24070000, 24072620"
"National Gems Higher Secondary School, Behala",Phone: 033 23974311
"North Point Boarding Sr Sec School, Kolkata",none
"North Point Sr Sec Boarding School, Rajarhat",none
"Oaktree International School, Kolkata",none
"Orient Day School, Behala","Phone: 033 23976810, 23992297"
"Oxford International School, Ballygunge","Phone: 033 33023639 , 24603368"
"Purwanchal Vidyamandir, Kolkata",Phone: 033 23557581
"Radcliffe School, Kolkata","Phone: 8336905044, 8336905045"
Ravindra Bharathi Global School,"Phone: 9088010305, 9088010405"
"Shemrock Amazing, Kolkata",Phone: 9830691903
"Shemrock Blissful Blessings, Kolkata",Phone: 9830052102
"Shemrock Blue Bells, Kolkata","Phone: 9748107111, 9748107333"
"Shemrock Global Wisdom, Kolkata",Phone: 9830027497
"Shemrock Little Blessings, Kolkata",Phone: 9748443671
"Shemrock Little Leaders, Kolkata","Phone: 9051350992, 9432333820"
"Shemrock Sparrow, Kolkata",Phone: 033 65054553
"Shemrock Sunshine Kids, Kolkata",Phone: 9163650478
"Shemrock Whizkids, Kolkata",Phone: 9830055585
"Shemrock Wonder Years, Kolkata",Phone: 9836747222
"South Point High School, Kolkata","Phone: 033 24406208, 24406385"
"South Point School, Kolkata","Phone: 033 24406208, 24407209"
"Sri Sri Academic, Kolkata","Phone: 033 24569090, 24490247"
"St Francis Xavier School, Kolkata","Phone: 033 2335058, 9108"
"St James School, Kolkata",Phone: 033 22841546
St Johns Diocesan Girls Higher Secondary School,Phone: 033 24753905
"St Stephens School, Dum Dum","Phone: 033 25296670, 7042"
"St Stephens School, Keorapukur",Phone: 033 32434671
"St Stephens School, Kolkata",Phone: 033 25492521
"St Stephens School, Sonarpur",Phone: 033 24283347
"St Thomas Boys School, Kolkata",none
"St Thomas Girls School, Kolkata",none
"The Aryans School, Kolkata","Phone: 033 25232524, 25232525"
"The Frank Anthony Public School, Kolkata",Phone: 033 22848038
"The Heritage School, Kolkata",none
"The Holy Trust School, Kolkata",Phone: 033 32596849
"Vivekananda Mission School, Kolkata",Phone: 033 24671010
"Welland Gouldsmith School, Kolkata",Phone: 033 24363419
"Welland Gouldsmith School, Kolkata",Phone: 033 22255471
"WWA Cossipore English School, Kolkata",Phone: 033 25574373
