Name,phone
"Sardar Patel Public School, Bhopal","Phone: 0755 2499848, 2499849"
"Scholars Home Public School, Bhopal","Phone: 0755 2411941, 2463855"
"Scope Public School, Bhopal",Phone: 0755 2432924
"Seedlings School, Bhopal",Phone: 0755 4058809
Sharda Vidya Mandir Foundation School Chuna Bhatti,Phone: 0755 2492921
"Sharda Vidya Mandir Foundation School, Bhopal","Phone: 0755 2696951, 2696603"
"Sharda Vidya Mandir Sr Sec School, Bhopal","Phone: 0755 2696951, 2696603"
"Shree Bhavans Bharti Public School, Bhopal","Phone: 0755 2696867, 2696850"
"Sindhu Middle School, Bhopal",Phone: 0755-2461368
"St Francis Hr Sec School, Bhopal",Phone: 0755 2573015
"St Joseph CoEd School, Bhopal","Phone: 0755 2565434, 4295084"
"St Josephs Convent Girls School, Bhopal",Phone: 0755 2541266
"St Josephs Convent Sr Sec girls School, Bhopal",Phone: 0755 2541266
"St Marys Convent Sr Sec School, Bhopal",Phone: 0755 2557927
"St Montfort School, Bhopal","Phone: 0755 2529266, 2985841"
"St Paul Senior Secondary School, Bhopal",Phone: 0755 2756701
"St Raphael Co-Ed School, Bhopal",Phone: 0755 2970690
"St Theresas Girls School, Bhopal",Phone: 0755 2756241
"St Thomas Convent Sr Sec School, Bhopal","Phone: 0755 2628494, 3291232"
"St Xaviers Senior Secondary School, Bhopal",Phone: 0755 2620017
"Standard Public School, Bhopal",Phone: 0755 2770799
"Takshshila Public School, Bhopal",Phone: 0755 2586221
The Oriental School,Phone: 9667007624
"Tribal School, Bhopal",none
"World Way International School, Bhopal","Phone: 0755 4924342, 4276668"
